state,year,level,metric,value,unit,pdf_file,pdf_page,printed_label,note
India,2021-22,All,schools_with_electricity,1330305,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
India,2021-22,All,schools_with_functional_electricity,1289245,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Andaman & Nicobar Islands,2021-22,All,schools_with_electricity,386,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Andaman & Nicobar Islands,2021-22,All,schools_with_functional_electricity,386,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Andhra Pradesh,2021-22,All,schools_with_electricity,61223,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Andhra Pradesh,2021-22,All,schools_with_functional_electricity,60684,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Arunachal Pradesh,2021-22,All,schools_with_electricity,2402,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Arunachal Pradesh,2021-22,All,schools_with_functional_electricity,1938,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Assam,2021-22,All,schools_with_electricity,46907,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Assam,2021-22,All,schools_with_functional_electricity,45683,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Bihar,2021-22,All,schools_with_electricity,82686,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Bihar,2021-22,All,schools_with_functional_electricity,81564,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Chandigarh,2021-22,All,schools_with_electricity,233,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Chandigarh,2021-22,All,schools_with_functional_electricity,233,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Chhattisgarh,2021-22,All,schools_with_electricity,54132,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Chhattisgarh,2021-22,All,schools_with_functional_electricity,51652,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Dadra & Nagar Haveli and Daman & Diu,2021-22,All,schools_with_electricity,460,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Dadra & Nagar Haveli and Daman & Diu,2021-22,All,schools_with_functional_electricity,460,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Delhi,2021-22,All,schools_with_electricity,5619,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Delhi,2021-22,All,schools_with_functional_electricity,5619,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Goa,2021-22,All,schools_with_electricity,1510,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Goa,2021-22,All,schools_with_functional_electricity,1510,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Gujarat,2021-22,All,schools_with_electricity,53829,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Gujarat,2021-22,All,schools_with_functional_electricity,53828,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Haryana,2021-22,All,schools_with_electricity,23522,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Haryana,2021-22,All,schools_with_functional_electricity,23209,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Himachal Pradesh,2021-22,All,schools_with_electricity,17785,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Himachal Pradesh,2021-22,All,schools_with_functional_electricity,17628,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Jammu & Kashmir,2021-22,All,schools_with_electricity,22054,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Jammu & Kashmir,2021-22,All,schools_with_functional_electricity,21011,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Jharkhand,2021-22,All,schools_with_electricity,42723,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Jharkhand,2021-22,All,schools_with_functional_electricity,41308,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Karnataka,2021-22,All,schools_with_electricity,75736,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Karnataka,2021-22,All,schools_with_functional_electricity,75370,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Kerala,2021-22,All,schools_with_electricity,16170,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Kerala,2021-22,All,schools_with_functional_electricity,16162,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Ladakh,2021-22,All,schools_with_electricity,913,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Ladakh,2021-22,All,schools_with_functional_electricity,902,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Lakshadweep,2021-22,All,schools_with_electricity,38,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Lakshadweep,2021-22,All,schools_with_functional_electricity,38,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Madhya Pradesh,2021-22,All,schools_with_electricity,96841,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Madhya Pradesh,2021-22,All,schools_with_functional_electricity,93991,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Maharashtra,2021-22,All,schools_with_electricity,104094,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Maharashtra,2021-22,All,schools_with_functional_electricity,93771,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Manipur,2021-22,All,schools_with_electricity,3071,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Manipur,2021-22,All,schools_with_functional_electricity,2516,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Meghalaya,2021-22,All,schools_with_electricity,3873,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Meghalaya,2021-22,All,schools_with_functional_electricity,3601,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Mizoram,2021-22,All,schools_with_electricity,3297,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Mizoram,2021-22,All,schools_with_functional_electricity,3114,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Nagaland,2021-22,All,schools_with_electricity,2074,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Nagaland,2021-22,All,schools_with_functional_electricity,1824,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Odisha,2021-22,All,schools_with_electricity,52506,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Odisha,2021-22,All,schools_with_functional_electricity,47747,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Puducherry,2021-22,All,schools_with_electricity,736,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Puducherry,2021-22,All,schools_with_functional_electricity,736,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Punjab,2021-22,All,schools_with_electricity,27698,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Punjab,2021-22,All,schools_with_functional_electricity,27695,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Rajasthan,2021-22,All,schools_with_electricity,93298,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Rajasthan,2021-22,All,schools_with_functional_electricity,92219,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Sikkim,2021-22,All,schools_with_electricity,1254,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Sikkim,2021-22,All,schools_with_functional_electricity,1239,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Tamil Nadu,2021-22,All,schools_with_electricity,58801,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Tamil Nadu,2021-22,All,schools_with_functional_electricity,58801,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Telangana,2021-22,All,schools_with_electricity,40437,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Telangana,2021-22,All,schools_with_functional_electricity,38920,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Tripura,2021-22,All,schools_with_electricity,2826,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Tripura,2021-22,All,schools_with_functional_electricity,2710,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Uttar Pradesh,2021-22,All,schools_with_electricity,218099,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Uttar Pradesh,2021-22,All,schools_with_functional_electricity,209856,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
Uttarakhand,2021-22,All,schools_with_electricity,20890,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
Uttarakhand,2021-22,All,schools_with_functional_electricity,20217,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
West Bengal,2021-22,All,schools_with_electricity,92182,count,UDISE_2021-2022.pdf,125,Schools with electricity facility,"Table 7.1 col (7), All management"
West Bengal,2021-22,All,schools_with_functional_electricity,91103,count,UDISE_2021-2022.pdf,125,Schools with functional electricity facility,"Table 7.1 col (12), All management"
India,2021-22,All,schools_with_electricity,89.3,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
India,2021-22,All,schools_with_functional_electricity,86.6,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Andaman & Nicobar Islands,2021-22,All,schools_with_electricity,92.8,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Andaman & Nicobar Islands,2021-22,All,schools_with_functional_electricity,92.8,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Andhra Pradesh,2021-22,All,schools_with_electricity,98.8,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Andhra Pradesh,2021-22,All,schools_with_functional_electricity,98,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Arunachal Pradesh,2021-22,All,schools_with_electricity,66.7,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Arunachal Pradesh,2021-22,All,schools_with_functional_electricity,53.8,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Assam,2021-22,All,schools_with_electricity,77.1,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Assam,2021-22,All,schools_with_functional_electricity,75.1,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Bihar,2021-22,All,schools_with_electricity,88.8,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Bihar,2021-22,All,schools_with_functional_electricity,87.6,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Chandigarh,2021-22,All,schools_with_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Chandigarh,2021-22,All,schools_with_functional_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Chhattisgarh,2021-22,All,schools_with_electricity,95.8,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
Chhattisgarh,2021-22,All,schools_with_functional_electricity,91.4,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with functional electricity connection,"Table 7.1 (continued) col (22), All management"
Dadra & Nagar Haveli and Daman & Diu,2021-22,All,schools_with_electricity,100,percent,UDISE_2021-2022.pdf,126,Percentage of Schools with electricity connection,"Table 7.1 (continued) col (17), All management"
